frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,udp.srcport,udp.dstport,icmp.type
"0.000000000","42","f6:5c:36:cd:d3:3a","ae:a8:32:5b:5c:4f",,,,,,,,,,,,,
"0.000005000","42","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d",,,,,,,,,,,,,
"0.022970000","42","ae:a8:32:5b:5c:4f","f6:5c:36:cd:d3:3a",,,,,,,,,,,,,
"0.022971000","42","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a",,,,,,,,,,,,,
"83.145308000","42","f6:5c:36:cd:d3:3a","ff:ff:ff:ff:ff:ff",,,,,,,,,,,,,
"83.163247000","42","7a:96:7e:c1:c7:9d","f6:5c:36:cd:d3:3a",,,,,,,,,,,,,
"96.169279000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","111","0x00000002","1","0","0","0",,,
"96.169283000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","135","0x00000002","1","0","0","0",,,
"96.169284000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","23","0x00000002","1","0","0","0",,,
"96.169285000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","113","0x00000002","1","0","0","0",,,
"96.169286000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","995","0x00000002","1","0","0","0",,,
"96.169286000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","443","0x00000002","1","0","0","0",,,
"96.169287000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","25","0x00000002","1","0","0","0",,,
"96.169288000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","80","0x00000002","1","0","0","0",,,
"96.169288000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","445","0x00000002","1","0","0","0",,,
"96.169289000","58","f6:5c:36:cd:d3:3a","7a:96:7e:c1:c7:9d","10.0.0.3","10.0.0.1","6","52630","587","0x00000002","1","0","0","0",,,
