time_window_start,total_packets,total_bytes,packets_per_second,bytes_per_second,avg_packet_size,std_packet_size,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,fin_count,rst_count,syn_ack_ratio,unique_dst_ports,port_diversity,unique_src_ips,unique_dst_ips,unique_connections
0.0,4,168,4.0,168.0,42.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1.0,136,210280,136.0,210280.0,1546.1764705882354,1600.2845574846206,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
2.0,835,1247963,835.0,1247963.0,1494.5664670658682,1429.329946092733,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
3.0,832,1250960,832.0,1250960.0,1503.5576923076924,1433.0743056031627,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
4.0,838,1248177,838.0,1248177.0,1489.4713603818616,1431.050615726149,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
5.0,823,1241678,823.0,1241678.0,1508.7217496962332,1432.938803542109,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
6.0,832,1250976,832.0,1250976.0,1503.576923076923,1433.0550449391044,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
7.0,838,1252505,838.0,1252505.0,1494.6360381861575,1432.0241115787635,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
8.0,828,1249248,828.0,1249248.0,1508.7536231884058,1432.1455250794154,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
9.0,832,1249229,832.0,1249229.0,1501.4771634615386,1431.9659050649489,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
10.0,833,1251026,833.0,1251026.0,1501.8319327731092,1433.0786623520314,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
11.0,829,1249314,829.0,1249314.0,1507.0132689987938,1432.1573254695816,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
12.0,832,1250976,832.0,1250976.0,1503.576923076923,1433.0550449391044,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
13.0,1802,1240897,1802.0,1240897.0,688.6220865704772,1198.3536748646482,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
14.0,830,1250828,830.0,1250828.0,1507.021686746988,1433.0592806374186,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
15.0,829,1247866,829.0,1247866.0,1505.266586248492,1433.031529602988,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
16.0,833,1249594,833.0,1249594.0,1500.1128451380553,1432.1640939705064,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
17.0,841,1252727,841.0,1252727.0,1489.5683709869204,1431.9746233114395,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
18.0,829,1247866,829.0,1247866.0,1505.266586248492,1433.0315296029878,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
19.0,840,1252936,840.0,1252936.0,1491.5904761904762,1432.2074892144192,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
